Missed;boer1998.pdf;cost effectiveness of shortening screening interval or extending age range of nhs  breast  screening  programme:  computer  simulation  study;
Missed;campos2017_3.pdf;Evidence-based policy choices for efficient and equitable cervical cancer screening programs in low-resource settings.;
Missed;campos2017_4.pdf;Cost-effectiveness of HPV-based cervical cancer screening in the public health system in Nicaragua.;BMJ Open. 2017 Jun 15.7(6):e015048. doi: 10.1136/bmjopen-2016-015048.
Missed;coldman2017_2.pdf;Simulating results from trials of sigmoidoscopy screening using the OncoSim microsimulation model;Coldman, Andrew, Pader, Joy, Gauvreau, Cindy, Memon, Saima, Fitzgerald, Natalie, Flanagan, William, Nadeau, Claude, Earle, Craig, Wolfson, Michael, Miller, Anthony, Lacombe, Jason
Missed;cronin1998;Assessing uncertainty in microsimulation modelling with application to cancer screening interventions.;Cronin KA1, Legler JM, Etzioni RD.
Missed;Dongfeng2012.pdf;INFERENCE OF LONG TERM EFFECTS AND OVERDIAGNOSIS IN PERIODIC CANCER SCREENING;Wu, Dongfeng  Kafadar, Karen  Rosner, Gary L.
Missed;Economic_Models_Workshop.pdf;economic models of colorectal cancer screening in average-risk adults: workshop summary;
Missed;fett2001.pdf;Computer modelling of the Swedish two county trial of mammographic screening and trade offs between participation and screening interval;Fett, MJ
Missed;fitzgerald2015.pdf;BIENNIAL LUNG CANCER SCREENING BY LOW-DOSE CT SCAN - A SIMULATION OF COST EFFECTIVENESS IN CANADA;Goffin, John R., Flanagan, William M., Miller, Anthony B., Liu, Fei Fei, Cressman, Sonya, Fitzgerald, Natalie, Fung, Sharon, Wolfson, Michael C., Evans, William
Missed;goede2015_2.pdf;Cost-Savings to Medicare From Pre-Medicare Colorectal Cancer Screening;Goede, Simon L., Kuntz, Karen M., van Ballegooijen, Marjolein, Knudsen, Amy B., Lansdorp-Vogelaar, Iris, Tangka, Florence K., Howard, David H., Chin, Joseph, Zauber, Ann G., Seeff, Laura C.
Missed;gulati2011_2.pdf;Long-term projections of the harm-benefit trade-off in prostate cancer screening are more favorable than previous short-term estimates;Gulati, Roman  Mariotto, Angela B.  Chen, Shu  Gore, John L.  Etzioni, Ruth
Missed;haug2014_2.pdf;Development of new non-invasive tests for colorectal cancer screening: the relevance of information on adenoma detection.;Haug U1, Knudsen AB, Lansdorp-Vogelaar I, Kuntz KM.
Missed;imperiale2004.pdf;fecal dna versus fecal occult blood for colorectal-cancer screening in an average-risk population;
Missed;kamphuis2017.pdf;Effect of Cervical Cancer Screening Programs on Preterm Birth: A Decision and Cost-Effectiveness Analysis.;
Missed;Koning2018.pdf;The efficacy of prostate-specific antigen screening: Impact of key components in the ERSPC and PLCO trials;de Koning, Harry J.  Gulati, Roman  Moss, Sue M.  Hugosson, Jonas  Pinsky, Paul F.  Berg, Christine D.  Auvinen, Anssi  Andriole, Gerald L.  Roobol, Monique J.  Crawford, E. David  Nelen, Vera  Kwiatkowski, Maciej  Zappa, Marco  Lujan, Marcos  Villers, Arnauld  de Carvalho, Tiago M.  Feuer, Eric J.  Tsodikov, Alex  Mariotto, Angela B.  Heijnsdijk, Eveline A. M.  Etzioni, Ruth
Missed;lam2004.pdf;The price of cancer screening;Lam C.L.K.
Missed;landy2017_2.pdf;What cervical screening is appropriate for women who have been vaccinated against high risk HPV? A simulation study;Landy, Rebecca  Windridge, Peter  Gillman, Matthew S.  Sasieni, Peter D.
Missed;Lee2016_2.pdf;Cost Effectiveness of Colorectal Cancer Screening Interventions with Their Effects on Health Disparity Being Considered;Lee, Kwang-Sig  Park, Eun-Cheol
Missed;mandelblatt2002_2.pdf;Costs and benefits of different strategies to screen for cervical cancer in less-developed countries;Mandelblatt, JS  Lawrence, WF  Gaffikin, L  Limpahayom, KK  Lumbiganon, P  Warakamin, S  King, J  Yi, B  Ringers, P  Blumenthal, PD
Missed;mandelblatt2004_2.pdf;Benefits and costs of interventions to improve breast cancer outcomes in African American women.;Mandelblatt JS1, Schechter CB, Yabroff KR, Lawrence W, Dignam J, Muennig P, Chavez Y, Cullen J, Fahs M.
Missed;mandelblatt2011_2.pdf;Modeling the impact of population screening on breast cancer mortality in the United States;Mandelblatt, Jeanne S.  Cronin, Kathleen A.  Berry, Donald A.  Chang, Yaojen  de Koning, Harry J.  Lee, Sandra J.  Plevritis, Sylvia K.  Schechter, Clyde B.  Stout, Natasha K.  van Ravesteyn, Nicolien T.  Zelen, Marvin  Feuer, Eric J.
Missed;marshall2001_2.pdf;Economic decision analysis model of screening for lung cancer;Marshall D., Simpson K.N., Earle C.C., Chu C.-W.
Missed;morrell2012.pdf;Screening for prostate cancer using multivariate mixed-effects models;Morrell, Christopher H., Brant, Larry J., Sheng, Shan, Metter, E. Jeffrey
Missed;neville2005.pdf;An alternative cost effectiveness analysis of ThinPrep in the Australian setting.;Neville AM1, Quinn MA.
Missed;Perez2016.pdf;Estimation of the Cost-Effectiveness of Breast Cancer Screening Using Mammography in Mexico Through a Simulation;Ulloa-Perez E., Mohar-Betancourt A., Reynoso-Noveron N.
Missed;Ravesteyn2010.pdf;Race-specific impact of natural history, mammography screening, and adjuvant treatment on breast cancer mortality rates in the United States.;
Missed;roth2016_2.pdf;Economic Analysis of Prostate-Specific Antigen Screening and Selective Treatment Strategies;Roth, Joshua A.  Gulati, Roman  Gore, John L.  Cooperberg, Matthew R.  Etzioni, Ruth
Missed;shen1999.pdf;parametric estimation procedures for screening programmes: stable and nonstable disease models for multimodality case finding;
Missed;shen2005_2.pdf;robust modeling in screening studies: estimation of sensitivity and preclinical sojourn time distribution;
Missed;simonella2015.pdf;development of a quality framework for models of cervical screening and its application to evaluations of the costeffectiveness of hpv vaccination in developed countries;
Missed;Tan2000.pdf;estimating parameters of a microsimulation model for breast cancer screening using the score function method;
Missed;Taylor2000.pdf;Cost-effectiveness of the conventional papanicolaou test with a new adjunct to cytological screening for squamous cell carcinoma of the uterine cervix and its precursors.;Taylor LA1, Sorensen SV, Ray NF, Halpern MT, Harper DM.
Missed;Thomas2017.pdf;Estimating the Effect of Targeted Screening Strategies An Application to Colonoscopy and Colorectal Cancer;Thomas, Duncan C.
Missed;vervoort2004.pdf;Trends in the usage of adjuvant systemic therapy for breast cancer in the Netherlands and its effect on mortality.;Vervoort MM1, Draisma G, Fracheboud J, van de Poll-Franse LV, de Koning HJ.
Missed;vogelaar2006.pdf;How much can current interventions reduce colorectal cancer mortality in the US? Mortality projections for scenarios of risk-factor modification, screening, and treatment;Vogelaar, Iris, van Ballegooijen, Marjolein, Schrag, Deborah, Boer, Rob, Winawer, Sidney J., Habbema, J. Dik F., Zauber, Ann G.
Missed;whynes1999_2.pdf;Cost-effectiveness of faecal occult blood screening for colorectal cancer: results of the Nottingham trial.;
Missed;wu2009_3.pdf;Evaluation of breast cancer service screening programme with a Bayesian approach: mortality analysis in a Finnish region.;
